# luci-app-videoplayer release codec manifest v1
# source_commit=80a4045b8fedc431467de9ad60416314b789fa79
# format|release|revision|architecture|asset|sha256|local_package_name
ipk|24.10.8|r29233-443ec4032a|arm_cortex-a7|luci-videoplayer-codec-runtime_6.1.4-r5_arm_cortex-a7.ipk|4f4a5025d6f24d5936c4642736ceb8ce4230c1694c8ebd11043685b5a0415e69|luci-videoplayer-codec-runtime_6.1.4-r5_arm_cortex-a7.ipk
apk|25.12.5|r33051-f5dae5ece4|arm_cortex-a7_neon-vfpv4|luci-videoplayer-codec-runtime-6.1.4-r5_arm_cortex-a7_neon-vfpv4.apk|cdf15e68ec0cb7e33c4d06b1e0f1f4e8e951a9e837c97671f7d4d8af70f96dd6|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|arm_cortex-a7_neon-vfpv4|luci-videoplayer-codec-runtime_6.1.4-r5_arm_cortex-a7_neon-vfpv4.ipk|ad760635e22766bb4caac2b030805fed8efadf5f776b43b5c075009c05ef68e6|luci-videoplayer-codec-runtime_6.1.4-r5_arm_cortex-a7_neon-vfpv4.ipk
apk|25.12.5|r33051-f5dae5ece4|arm_cortex-a7_vfpv4|luci-videoplayer-codec-runtime-6.1.4-r5_arm_cortex-a7_vfpv4.apk|c1c501a6db0e2f2971cb332f2ae8693d39b973280e6c9edccfbee3a05548dfa0|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|arm_cortex-a7_vfpv4|luci-videoplayer-codec-runtime_6.1.4-r5_arm_cortex-a7_vfpv4.ipk|1fa54cbb3f555d7785e4b91689d5369e0ba907eb35e27b496084a6732b22a337|luci-videoplayer-codec-runtime_6.1.4-r5_arm_cortex-a7_vfpv4.ipk
apk|25.12.5|r33051-f5dae5ece4|arm_cortex-a8_vfpv3|luci-videoplayer-codec-runtime-6.1.4-r5_arm_cortex-a8_vfpv3.apk|04bdca5e139285bfdde58a30feefe62aeb3c31ed4da7509d2ed5d1a0f3155894|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|arm_cortex-a8_vfpv3|luci-videoplayer-codec-runtime_6.1.4-r5_arm_cortex-a8_vfpv3.ipk|f0a508e4dff3935073296424b8c8fb3722d8cc03fc02a4ada23c84bafdd07218|luci-videoplayer-codec-runtime_6.1.4-r5_arm_cortex-a8_vfpv3.ipk
apk|25.12.5|r33051-f5dae5ece4|arm_cortex-a9|luci-videoplayer-codec-runtime-6.1.4-r5_arm_cortex-a9.apk|86f524bf9249772544499fe0347757041de8289cfbf099bc6076fb516d5b02ef|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|arm_cortex-a9|luci-videoplayer-codec-runtime_6.1.4-r5_arm_cortex-a9.ipk|9e8456c08d1cae81c22b69272c3a19f8af0b79bba6cb40a26f08737e1d94939a|luci-videoplayer-codec-runtime_6.1.4-r5_arm_cortex-a9.ipk
apk|25.12.5|r33051-f5dae5ece4|arm_cortex-a9_neon|luci-videoplayer-codec-runtime-6.1.4-r5_arm_cortex-a9_neon.apk|6b50857d23e519501f066a0e5c77d9b10ef3f13495fccde75f09769d3da2b14c|luci-videoplayer-codec-runtime-6.1.4-r5.apk
